N,modulation_index,THD,THD_percent
5,0.5,0.2872635338991301,28.72635338991301
5,0.6,0.2112251028753565,21.12251028753565
5,0.7,0.19500193950594938,19.500193950594937
5,0.8,0.2045659801892376,20.45659801892376
5,0.9,0.1653418338300263,16.534183383002627
5,1.0,0.13038281380532457,13.038281380532457
10,0.5,0.1581201211311878,15.812012113118781
10,0.6,0.10937757064730724,10.937757064730725
10,0.7,0.10847754319767199,10.847754319767198
10,0.8,0.07879380523995871,7.879380523995872
10,0.9,0.08102166606984218,8.102166606984218
10,1.0,0.06276678144774045,6.276678144774045
20,0.5,0.06276678144774045,6.276678144774045
20,0.6,0.05103467705195956,5.103467705195956
20,0.7,0.03806907135247503,3.8069071352475032
20,0.8,0.02715557253366142,2.715557253366142
20,0.9,0.022990884682678812,2.299088468267881
20,1.0,0.01953440177998526,1.953440177998526
50,0.5,0.017950282265007698,1.7950282265007698
50,0.6,0.010194259903678702,1.0194259903678702
50,0.7,0.01138662682049974,1.138662682049974
50,0.8,0.0065190976243070155,0.6519097624307015
50,0.9,0.008077950398289875,0.8077950398289876
50,1.0,0.004174825393075647,0.4174825393075647
100,0.5,0.004174825393075647,0.4174825393075647
100,0.6,0.0028662135069250612,0.2866213506925061
100,0.7,0.002334390651114146,0.2334390651114146
100,0.8,0.0020794333303404268,0.20794333303404267
100,0.9,0.001675510088508532,0.1675510088508532
100,1.0,0.001385805402976774,0.1385805402976774
